Journal,Division
Academy of Management Annals,1区
ACADEMY OF MANAGEMENT JOURNAL,1区
ACADEMY OF MANAGEMENT REVIEW,1区
ACCIDENT ANALYSIS AND PREVENTION,1区
ACCOUNTS OF CHEMICAL RESEARCH,1区
Accounts of Materials Research,1区
ACM COMPUTING SURVEYS,1区
ACM TRANSACTIONS ON GRAPHICS,1区
ACS Catalysis,1区
ACS Central Science,1区
ACS Energy Letters,1区
ACS Macro Letters,1区
ACS Nano,1区
ACS Photonics,1区
ACS Sensors,1区
ACS Sustainable Chemistry & Engineering,1区
Acta Biomaterialia,1区
Acta Geotechnica,1区
ACTA MATERIALIA,1区
ACTA MATHEMATICA,1区
ACTA NEUROPATHOLOGICA,1区
ACTA NUMERICA,1区
Acta Pharmaceutica Sinica B,1区
Active Learning in Higher Education,1区
Additive Manufacturing,1区
ADMINISTRATIVE SCIENCE QUARTERLY,1区
ADVANCED DRUG DELIVERY REVIEWS,1区
Advanced Energy Materials,1区
ADVANCED ENGINEERING INFORMATICS,1区
Advanced Fiber Materials,1区
ADVANCED FUNCTIONAL MATERIALS,1区
ADVANCED MATERIALS,1区
Advanced Photonics,1区
Advanced Science,1区
Advances in Climate Change Research,1区
ADVANCES IN COLLOID AND INTERFACE SCIENCE,1区
Advances in Geo-Energy Research,1区
ADVANCES IN MATHEMATICS,1区
Advances in Methods and Practices in Psychological Science,1区
Advances in Nonlinear Analysis,1区
Advances in Optics and Photonics,1区
ADVANCES IN PHYSICS,1区
Aerospace Science and Technology,1区
AGEING RESEARCH REVIEWS,1区
Aggregate,1区
AGING CELL,1区
AGRICULTURAL AND FOREST METEOROLOGY,1区
AGRICULTURAL SYSTEMS,1区
Agricultural Water Management,1区
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1区
Agronomy for Sustainable Development,1区
AGU Advances,1区
Algebraic Geometry,1区
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,1区
ALLERGY,1区
Alzheimers & Dementia,1区
Alzheimers Research & Therapy,1区
AMERICAN ANTHROPOLOGIST,1区
AMERICAN ANTIQUITY,1区
American Economic Journal-Applied Economics,1区
American Economic Journal-Economic Policy,1区
American Economic Journal-Macroeconomics,1区
American Economic Review-Insights,1区
AMERICAN ECONOMIC REVIEW,1区
AMERICAN EDUCATIONAL RESEARCH JOURNAL,1区
AMERICAN ETHNOLOGIST,1区
AMERICAN HISTORICAL REVIEW,1区
AMERICAN JOURNAL OF BIOETHICS,1区
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,1区
AMERICAN JOURNAL OF CLINICAL NUTRITION,1区
AMERICAN JOURNAL OF GASTROENTEROLOGY,1区
AMERICAN JOURNAL OF HEMATOLOGY,1区
AMERICAN JOURNAL OF HUMAN GENETICS,1区
AMERICAN JOURNAL OF KIDNEY DISEASES,1区
AMERICAN JOURNAL OF MATHEMATICS,1区
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,1区
AMERICAN JOURNAL OF OPHTHALMOLOGY,1区
AMERICAN JOURNAL OF POLITICAL SCIENCE,1区
AMERICAN JOURNAL OF PSYCHIATRY,1区
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1区
AMERICAN JOURNAL OF SOCIOLOGY,1区
AMERICAN JOURNAL OF SPORTS MEDICINE,1区
AMERICAN JOURNAL OF SURGICAL PATHOLOGY,1区
AMERICAN POLITICAL SCIENCE REVIEW,1区
AMERICAN PSYCHOLOGIST,1区
AMERICAN SOCIOLOGICAL REVIEW,1区
ANAESTHESIA,1区
Analysis & PDE,1区
Analytic Methods in Accident Research,1区
ANALYTICAL CHEMISTRY,1区
ANESTHESIOLOGY,1区
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1区
ANGIOGENESIS,1区
Animal Nutrition,1区
ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,1区
ANNALS OF EMERGENCY MEDICINE,1区
Annals of Intensive Care,1区
ANNALS OF INTERNAL MEDICINE,1区
ANNALS OF MATHEMATICS,1区
ANNALS OF NEUROLOGY,1区
ANNALS OF ONCOLOGY,1区
Annals of PDE,1区
ANNALS OF PROBABILITY,1区
ANNALS OF STATISTICS,1区
ANNALS OF SURGERY,1区
ANNALS OF THE RHEUMATIC DISEASES,1区
ANNALS OF TOURISM RESEARCH,1区
Annual Review of Animal Biosciences,1区
Annual Review of Applied Linguistics,1区
Annual Review of Astronomy and Astrophysics,1区
Annual Review of Biochemistry,1区
Annual Review of Biomedical Engineering,1区
Annual Review of Biophysics,1区
Annual Review of Cell and Developmental Biology,1区
Annual Review of Clinical Psychology,1区
Annual Review of Control Robotics and Autonomous Systems,1区
Annual Review of Criminology,1区
Annual Review of Earth and Planetary Sciences,1区
Annual Review of Ecology Evolution and Systematics,1区
Annual Review of Entomology,1区
Annual Review of Environment and Resources,1区
Annual Review of Fluid Mechanics,1区
Annual Review of Food Science and Technology,1区
Annual Review of Genetics,1区
Annual Review of Immunology,1区
Annual Review of Linguistics,1区
Annual Review of Marine Science,1区
Annual Review of Medicine,1区
Annual Review of Microbiology,1区
Annual Review of Neuroscience,1区
Annual Review of Organizational Psychology and Organizational Behavior,1区
Annual Review of Pathology-Mechanisms of Disease,1区
Annual Review of Pharmacology and Toxicology,1区
Annual Review of Physical Chemistry,1区
Annual Review of Physiology,1区
Annual Review of Phytopathology,1区
Annual Review of Plant Biology,1区
Annual Review of Political Science,1区
Annual Review of Psychology,1区
Annual Review of Public Health,1区
Annual Review of Sociology,1区
Annual Review of Statistics and Its Application,1区
Annual Review of Virology,1区
ANTIPODE,1区
APPLIED ENERGY,1区
APPLIED LINGUISTICS,1区
Applied Mechanics Reviews,1区
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,1区
ART BULLETIN,1区
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,1区
Arthritis & Rheumatology,1区
Asian Journal of Pharmaceutical Sciences,1区
Assessing Writing,1区
ASTRONOMY AND ASTROPHYSICS REVIEW,1区
Astrophysical Journal Letters,1区
ATMOSPHERIC CHEMISTRY AND PHYSICS,1区
AUTOIMMUNITY REVIEWS,1区
AUTOMATION IN CONSTRUCTION,1区
Autophagy,1区
BASIC RESEARCH IN CARDIOLOGY,1区
BEHAVIORAL AND BRAIN SCIENCES,1区
Big Data & Society,1区
Big Data Mining and Analytics,1区
Bio-Design and Manufacturing,1区
Bioactive Materials,1区
BIOLOGICAL CONSERVATION,1区
Biological Psychiatry,1区
BIOLOGICAL REVIEWS,1区
BIOMATERIALS,1区
BIORESOURCE TECHNOLOGY,1区
BIOSCIENCE,1区
BIOSENSORS & BIOELECTRONICS,1区
BIOTECHNOLOGY ADVANCES,1区
Blood Advances,1区
Blood Cancer Journal,1区
BLOOD,1区
BMC Medical Ethics,1区
BMC Medicine,1区
BMJ Quality & Safety,1区
BMJ-British Medical Journal,1区
Body Image,1区
Bone & Joint Journal,1区
Bone Research,1区
Brain Stimulation,1区
BRAIN,1区
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,1区
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,1区
BRITISH JOURNAL OF AESTHETICS,1区
BRITISH JOURNAL OF ANAESTHESIA,1区
BRITISH JOURNAL OF DERMATOLOGY,1区
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,1区
BRITISH JOURNAL OF POLITICAL SCIENCE,1区
BRITISH JOURNAL OF PSYCHIATRY,1区
BRITISH JOURNAL OF SPORTS MEDICINE,1区
British Journal of Surgery,1区
BUILDING AND ENVIRONMENT,1区
Building Simulation,1区
Business Strategy and the Environment,1区
CA-A CANCER JOURNAL FOR CLINICIANS,1区
CANADIAN MEDICAL ASSOCIATION JOURNAL,1区
CANCER CELL,1区
Cancer Communications,1区
Cancer Discovery,1区
Cancer Immunology Research,1区
CANCER LETTERS,1区
CANCER RESEARCH,1区
CANCER TREATMENT REVIEWS,1区
Carbohydrate Polymers,1区
Carbon Energy,1区
Cardiovascular Diabetology,1区
CARDIOVASCULAR RESEARCH,1区
CATENA,1区
CCS Chemistry,1区
Cell Chemical Biology,1区
Cell Death & Disease,1区
CELL DEATH AND DIFFERENTIATION,1区
Cell Discovery,1区
Cell Host & Microbe,1区
Cell Metabolism,1区
CELL PROLIFERATION,1区
Cell Reports Medicine,1区
Cell Reports,1区
CELL RESEARCH,1区
Cell Stem Cell,1区
Cell Systems,1区
CELL,1区
CELLULAR & MOLECULAR BIOLOGY LETTERS,1区
Cellular & Molecular Immunology,1区
Cellular and Molecular Gastroenterology and Hepatology,1区
CEMENT & CONCRETE COMPOSITES,1区
CEMENT AND CONCRETE RESEARCH,1区
CHAOS SOLITONS & FRACTALS,1区
Chem,1区
Chemical Engineering Journal,1区
CHEMICAL REVIEWS,1区
Chemical Science,1区
CHEMICAL SOCIETY REVIEWS,1区
CHEST,1区
Child Development Perspectives,1区
CHILD DEVELOPMENT,1区
China Finance Review International,1区
CHINESE CHEMICAL LETTERS,1区
Chinese Journal of Aeronautics,1区
Chinese Journal of Catalysis,1区
CHINESE JOURNAL OF CHEMISTRY,1区
Chinese Journal of International Politics,1区
CIRCULATION RESEARCH,1区
Circulation-Arrhythmia and Electrophysiology,1区
Circulation-Cardiovascular Imaging,1区
Circulation-Cardiovascular Interventions,1区
Circulation-Heart Failure,1区
CIRCULATION,1区
CITIES,1区
Clinical and Molecular Hepatology,1区
CLINICAL CANCER RESEARCH,1区
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,1区
Clinical Gastroenterology and Hepatology,1区
Clinical Journal of the American Society of Nephrology,1区
CLINICAL MICROBIOLOGY REVIEWS,1区
CLINICAL ORAL IMPLANTS RESEARCH,1区
CLINICAL PSYCHOLOGY REVIEW,1区
Cliometrica,1区
CoDesign-International Journal of CoCreation in Design and the Arts,1区
COGNITIVE LINGUISTICS,1区
Communication & Sport,1区
Communication Methods and Measures,1区
COMMUNICATION RESEARCH,1区
COMMUNICATION THEORY,1区
Communications Biology,1区
Communications Earth & Environment,1区
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,1区
Communications Physics,1区
COMPARATIVE EDUCATION,1区
COMPARATIVE POLITICAL STUDIES,1区
COMPOSITES PART B-ENGINEERING,1区
COMPOSITIO MATHEMATICA,1区
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,1区
Computer Assisted Language Learning,1区
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,1区
Computer Science Review,1区
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,1区
COMPUTERS & EDUCATION,1区
COMPUTERS AND ELECTRONICS IN AGRICULTURE,1区
COMPUTERS AND GEOTECHNICS,1区
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,1区
COMPUTERS IN HUMAN BEHAVIOR,1区
COMPUTERS IN INDUSTRY,1区
CONSERVATION BIOLOGY,1区
Conservation Letters,1区
Construction and Building Materials,1区
CONTACT DERMATITIS,1区
CONTEMPORARY EDUCATIONAL PSYCHOLOGY,1区
Contemporary Security Policy,1区
COORDINATION CHEMISTRY REVIEWS,1区
CORROSION SCIENCE,1区
Criminology & Public Policy,1区
CRIMINOLOGY,1区
CRITICAL CARE MEDICINE,1区
CRITICAL CARE,1区
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1区
Crop Journal,1区
CULTURAL ANTHROPOLOGY,1区
CURRENT BIOLOGY,1区
Current Climate Change Reports,1区
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,1区
Current Forestry Reports,1区
Current Issues in Language Planning,1区
Current Opinion in Food Science,1区
Current Opinion in Insect Science,1区
Democratization,1区
DEMOGRAPHY,1区
DENTAL MATERIALS,1区
Design Studies,1区
DEVELOPMENTAL CELL,1区
DEVELOPMENTAL REVIEW,1区
DEVELOPMENTAL SCIENCE,1区
DIABETES CARE,1区
DIABETOLOGIA,1区
Dialogues in Human Geography,1区
Digital Journalism,1区
DISCOURSE & SOCIETY,1区
DRUG RESISTANCE UPDATES,1区
DRUGS,1区
DUKE MATHEMATICAL JOURNAL,1区
EARLY CHILDHOOD RESEARCH QUARTERLY,1区
Early Medieval Europe,1区
EARTH AND PLANETARY SCIENCE LETTERS,1区
Earth System Science Data,1区
EARTH-SCIENCE REVIEWS,1区
Earths Future,1区
EBioMedicine,1区
EClinicalMedicine,1区
ECOGRAPHY,1区
ECOLOGY LETTERS,1区
ECONOMETRICA,1区
ECONOMIC GEOGRAPHY,1区
ECONOMIC GEOLOGY,1区
ECONOMIC HISTORY REVIEW,1区
EDUCATIONAL PSYCHOLOGIST,1区
EDUCATIONAL PSYCHOLOGY REVIEW,1区
Educational Research Review,1区
Educational Researcher,1区
Electrochemical Energy Reviews,1区
eLife,1区
EMBO JOURNAL,1区
EMBO Molecular Medicine,1区
EMBO REPORTS,1区
ENDOCRINE REVIEWS,1区
Endoscopic Ultrasound,1区
ENDOSCOPY,1区
Energy & Environmental Science,1区
ENERGY CONVERSION AND MANAGEMENT,1区
Energy Storage Materials,1区
Energy,1区
Engineering Applications of Computational Fluid Mechanics,1区
ENGINEERING GEOLOGY,1区
ENGINEERING STRUCTURES,1区
ENGLISH FOR SPECIFIC PURPOSES,1区
ENTOMOLOGIA GENERALIS,1区
Environment and Planning A-Economy and Space,1区
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,1区
ENVIRONMENT INTERNATIONAL,1区
ENVIRONMENTAL HEALTH PERSPECTIVES,1区
Environmental Impact Assessment Review,1区
ENVIRONMENTAL POLITICS,1区
ENVIRONMENTAL SCIENCE & TECHNOLOGY,1区
Environmental Science and Ecotechnology,1区
EPILEPSIA,1区
ETHICS,1区
eTransportation,1区
EuroIntervention,1区
EUROPACE,1区
European Heart Journal-Cardiovascular Imaging,1区
EUROPEAN HEART JOURNAL,1区
EUROPEAN JOURNAL OF AGRONOMY,1区
EUROPEAN JOURNAL OF CANCER,1区
EUROPEAN JOURNAL OF HEART FAILURE,1区
EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,1区
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1区
EUROPEAN JOURNAL OF PERSONALITY,1区
EUROPEAN JOURNAL OF POLITICAL RESEARCH,1区
European Journal of Psychology Applied to Legal Context,1区
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,1区
European Political Science Review,1区
EUROPEAN RESPIRATORY JOURNAL,1区
European Respiratory Review,1区
EUROPEAN SOCIOLOGICAL REVIEW,1区
EUROPEAN UNION POLITICS,1区
European Urology Oncology,1区
EUROPEAN UROLOGY,1区
EVOLUTION AND HUMAN BEHAVIOR,1区
Evolution Letters,1区
EXPERT SYSTEMS WITH APPLICATIONS,1区
EXPLORATIONS IN ECONOMIC HISTORY,1区
FERTILITY AND STERILITY,1区
FIELD CROPS RESEARCH,1区
Financial Innovation,1区
FISH AND FISHERIES,1区
Food Chemistry-X,1区
Food Chemistry,1区
FOOD CONTROL,1区
FOOD HYDROCOLLOIDS,1区
FOOD MICROBIOLOGY,1区
Food Packaging and Shelf Life,1区
FOOD POLICY,1区
Food Quality and Preference,1区
FOOD RESEARCH INTERNATIONAL,1区
Food Science and Human Wellness,1区
Forest Ecosystems,1区
Forum of Mathematics Pi,1区
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,1区
Friction,1区
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1区
Frontiers of Architectural Research,1区
FUNCTIONAL ECOLOGY,1区
FUNGAL DIVERSITY,1区
FUZZY SETS AND SYSTEMS,1区
Gastroenterology,1区
GASTROINTESTINAL ENDOSCOPY,1区
GENDER & SOCIETY,1区
GENDER WORK AND ORGANIZATION,1区
GENES & DEVELOPMENT,1区
GENETICS IN MEDICINE,1区
GENETICS SELECTION EVOLUTION,1区
GENOME BIOLOGY,1区
Genome Medicine,1区
GEOCHIMICA ET COSMOCHIMICA ACTA,1区
Geoderma,1区
Geography and Sustainability,1区
GEOLOGICAL SOCIETY OF AMERICA BULLETIN,1区
GEOLOGY,1区
GEOMETRIC AND FUNCTIONAL ANALYSIS,1区
GEOMETRY & TOPOLOGY,1区
Geopolitics,1区
Geoscience Frontiers,1区
GESTA-INTERNATIONAL CENTER OF MEDIEVAL ART,1区
GLOBAL AND PLANETARY CHANGE,1区
GLOBAL CHANGE BIOLOGY,1区
GLOBAL ECOLOGY AND BIOGEOGRAPHY,1区
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,1区
Global Food Security-Agriculture Policy Economics and Environment,1区
Gondwana Research,1区
GOVERNMENT INFORMATION QUARTERLY,1区
GPS SOLUTIONS,1区
GREEN CHEMISTRY,1区
Green Energy & Environment,1区
Gut Microbes,1区
GUT,1区
HABITAT INTERNATIONAL,1区
HAEMATOLOGICA,1区
HEALTH AFFAIRS,1区
HEPATOLOGY,1区
HESPERIA,1区
High Power Laser Science and Engineering,1区
HIGHER EDUCATION,1区
HISTORICAL JOURNAL,1区
Horticultural Plant Journal,1区
Horticulture Research,1区
HUMAN COMMUNICATION RESEARCH,1区
HUMAN REPRODUCTION UPDATE,1区
HUMAN REPRODUCTION,1区
HUMAN RESOURCE MANAGEMENT REVIEW,1区
HUSSERL STUDIES,1区
HYDROLOGY AND EARTH SYSTEM SCIENCES,1区
HYPERTENSION,1区
IEEE Communications Surveys and Tutorials,1区
IEEE Geoscience and Remote Sensing Magazine,1区
IEEE JOURNAL OF SOLID-STATE CIRCUITS,1区
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,1区
IEEE Reviews in Biomedical Engineering,1区
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,1区
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,1区
IEEE Transactions on Cognitive Communications and Networking,1区
IEEE Transactions on Cybernetics,1区
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1区
IEEE TRANSACTIONS ON FUZZY SYSTEMS,1区
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,1区
IEEE TRANSACTIONS ON IMAGE PROCESSING,1区
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,1区
IEEE Transactions on Industrial Informatics,1区
IEEE Transactions on Information Forensics and Security,1区
IEEE Transactions on Intelligent Vehicles,1区
IEEE TRANSACTIONS ON MEDICAL IMAGING,1区
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,1区
IEEE TRANSACTIONS ON MULTIMEDIA,1区
IEEE Transactions on Neural Networks and Learning Systems,1区
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,1区
IEEE TRANSACTIONS ON POWER ELECTRONICS,1区
IEEE TRANSACTIONS ON POWER SYSTEMS,1区
IEEE Transactions on Robotics,1区
IEEE Transactions on Smart Grid,1区
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,1区
IEEE Transactions on Sustainable Energy,1区
IEEE Transactions on Systems Man Cybernetics-Systems,1区
IEEE Transactions on Transportation Electrification,1区
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,1区
IEEE-ASME TRANSACTIONS ON MECHATRONICS,1区
IEEE-CAA Journal of Automatica Sinica,1区
IMA Fungus,1区
Immunity,1区
Implementation Science,1区
INDUSTRIAL CROPS AND PRODUCTS,1区
Infectious Diseases of Poverty,1区
InfoMat,1区
Information Communication & Society,1区
Information Fusion,1区
INFORMATION PROCESSING & MANAGEMENT,1区
Innovation,1区
Innovative Food Science & Emerging Technologies,1区
Insect Science,1区
Insect Systematics and Diversity,1区
Integrative Zoology,1区
INTENSIVE CARE MEDICINE,1区
INTERNATIONAL AFFAIRS,1区
INTERNATIONAL ENDODONTIC JOURNAL,1区
International Journal of Applied Earth Observation and Geoinformation,1区
International Journal of Behavioral Nutrition and Physical Activity,1区
International Journal of Coal Science & Technology,1区
International Journal of Contemporary Hospitality Management,1区
International Journal of Educational Technology in Higher Education,1区
International Journal of Extreme Manufacturing,1区
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,1区
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,1区
International Journal of Heritage Studies,1区
International Journal of Hospitality Management,1区
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,1区
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,1区
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,1区
International Journal of Mining Science and Technology,1区
International Journal of Multilingualism,1区
INTERNATIONAL JOURNAL OF NURSING STUDIES,1区
International Journal of Oral Science,1区
INTERNATIONAL JOURNAL OF PLASTICITY,1区
International Journal of Press-Politics,1区
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,1区
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,1区
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,1区
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,1区
International Journal of STEM Education,1区
INTERNATIONAL MATERIALS REVIEWS,1区
INTERNATIONAL ORGANIZATION,1区
INTERNATIONAL SECURITY,1区
International Soil and Water Conservation Research,1区
INTERNATIONAL STUDIES QUARTERLY,1区
International Studies Review,1区
Internet and Higher Education,1区
Interpreter and Translator Trainer,1区
Interpreting,1区
INVENTIONES MATHEMATICAE,1区
INVESTIGATIVE RADIOLOGY,1区
ISME Journal,1区
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,1区
JACC-Basic to Translational Science,1区
JACC-Cardiovascular Imaging,1区
JACC-Cardiovascular Interventions,1区
JACC-Clinical Electrophysiology,1区
JACC-Heart Failure,1区
JACC: CardioOncology,1区
JAMA Cardiology,1区
JAMA Dermatology,1区
JAMA Internal Medicine,1区
JAMA Network Open,1区
JAMA Neurology,1区
JAMA Oncology,1区
JAMA Ophthalmology,1区
JAMA Otolaryngology-Head & Neck Surgery,1区
JAMA Pediatrics,1区
JAMA Psychiatry,1区
JAMA Surgery,1区
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,1区
JCI Insight,1区
JCMS-Journal of Common Market Studies,1区
JHEP Reports,1区
JNCI-Journal of the National Cancer Institute,1区
Joule,1区
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,1区
Journal for ImmunoTherapy of Cancer,1区
JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION,1区
Journal for the Study of Judaism,1区
JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,1区
JOURNAL OF ACCOUNTING & ECONOMICS,1区
Journal of Advanced Ceramics,1区
Journal of Advanced Research,1区
JOURNAL OF AFRICAN HISTORY,1区
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,1区
Journal of Allergy and Clinical Immunology-In Practice,1区
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,1区
Journal of Animal Science and Biotechnology,1区
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,1区
JOURNAL OF APPLIED ECOLOGY,1区
JOURNAL OF APPLIED PSYCHOLOGY,1区
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,1区
JOURNAL OF ARCHAEOLOGICAL RESEARCH,1区
JOURNAL OF ARCHAEOLOGICAL SCIENCE,1区
JOURNAL OF AUTOIMMUNITY,1区
JOURNAL OF BIBLICAL LITERATURE,1区
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,1区
JOURNAL OF BONE AND MINERAL RESEARCH,1区
JOURNAL OF BRITISH STUDIES,1区
JOURNAL OF BUSINESS ETHICS,1区
Journal of Business Research,1区
JOURNAL OF BUSINESS VENTURING,1区
Journal of Cachexia Sarcopenia and Muscle,1区
JOURNAL OF CATALYSIS,1区
JOURNAL OF CELL BIOLOGY,1区
Journal of Chemical Theory and Computation,1区
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,1区
Journal of Chinese Political Science,1区
Journal of Cleaner Production,1区
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,1区
JOURNAL OF CLINICAL INVESTIGATION,1区
JOURNAL OF CLINICAL ONCOLOGY,1区
JOURNAL OF CLINICAL PERIODONTOLOGY,1区
JOURNAL OF COLLOID AND INTERFACE SCIENCE,1区
JOURNAL OF COMBINATORIAL THEORY SERIES B,1区
JOURNAL OF COMMUNICATION,1区
Journal of Computer-Mediated Communication,1区
JOURNAL OF CONFLICT RESOLUTION,1区
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,1区
JOURNAL OF CONTROLLED RELEASE,1区
JOURNAL OF CORPORATE FINANCE,1区
JOURNAL OF COUNSELING PSYCHOLOGY,1区
JOURNAL OF DAIRY SCIENCE,1区
JOURNAL OF DEMOCRACY,1区
JOURNAL OF DENTAL RESEARCH,1区
JOURNAL OF DEVELOPMENT ECONOMICS,1区
JOURNAL OF DIFFERENTIAL GEOMETRY,1区
JOURNAL OF ECOLOGY,1区
JOURNAL OF ECONOMIC HISTORY,1区
JOURNAL OF ECONOMIC LITERATURE,1区
JOURNAL OF ECONOMIC PERSPECTIVES,1区
JOURNAL OF EDUCATIONAL PSYCHOLOGY,1区
Journal of Energy Chemistry,1区
Journal of English for Academic Purposes,1区
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,1区
Journal of European Integration,1区
JOURNAL OF EUROPEAN PUBLIC POLICY,1区
JOURNAL OF EUROPEAN SOCIAL POLICY,1区
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,1区
JOURNAL OF EXPERIMENTAL MEDICINE,1区
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,1区
Journal of Extracellular Vesicles,1区
Journal of Family Business Strategy,1区
JOURNAL OF FIELD ARCHAEOLOGY,1区
JOURNAL OF FINANCE,1区
JOURNAL OF FINANCIAL ECONOMICS,1区
Journal of Global History,1区
JOURNAL OF HAZARDOUS MATERIALS,1区
JOURNAL OF HEADACHE AND PAIN,1区
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,1区
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1区
Journal of Hematology & Oncology,1区
JOURNAL OF HEPATOLOGY,1区
Journal of Hospitality and Tourism Management,1区
Journal of Hospitality Marketing & Management,1区
JOURNAL OF HUMAN EVOLUTION,1区
JOURNAL OF HUMAN RESOURCES,1区
Journal of Hydrology,1区
Journal of Industrial Information Integration,1区
Journal of Innovation & Knowledge,1区
Journal of Integrative Agriculture,1区
Journal of Integrative Plant Biology,1区
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,1区
JOURNAL OF INTERNATIONAL ECONOMICS,1区
JOURNAL OF LABOR ECONOMICS,1区
Journal of Magnesium and Alloys,1区
JOURNAL OF MANAGEMENT IN ENGINEERING,1区
JOURNAL OF MANAGEMENT STUDIES,1区
JOURNAL OF MANAGEMENT,1区
Journal of Manufacturing Processes,1区
JOURNAL OF MANUFACTURING SYSTEMS,1区
JOURNAL OF MARKETING,1区
Journal of Materials Science & Technology,1区
Journal of Mathematical Logic,1区
JOURNAL OF MEDICINAL CHEMISTRY,1区
JOURNAL OF MEMBRANE SCIENCE,1区
Journal of Mixed Methods Research,1区
JOURNAL OF MUSIC THEORY,1区
